,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,valve,pickup
0,03/08/2022 16:46:40,24.13,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,03/08/2022 16:48:29,24.13,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,03/08/2022 16:48:33,24.00,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:34,24.13,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:35,24.13,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:36,23.75,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:36,23.88,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:37,24.13,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:38,23.75,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:39,23.88,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:40,23.88,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:41,23.88,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:42,23.63,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:43,23.25,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:44,23.75,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:45,23.75,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:45,23.38,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:46,23.63,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:47,23.63,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:48,23.50,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:49,23.88,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:50,23.75,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:51,23.50,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:52,23.75,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:53,23.25,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:54,23.38,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:54,23.63,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:55,23.13,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:56,23.63,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:57,23.13,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:58,23.38,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:48:59,23.25,20.00,7000,0,20,L,O,100,20,1.00,2,0
0,03/08/2022 16:49:00,23.38,20.00,7000,0,20,L,O,100,20,1.00,2,0
