,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,pickup
0,22/06/2022 11:28:53,21.25,20.00,7000,0,0,L,O,50,50,1.00,0
0,22/06/2022 11:29:49,21.75,20.00,7000,0,0,L,O,50,50,1.00,0
0,22/06/2022 11:29:51,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,22/06/2022 11:29:52,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,22/06/2022 11:29:54,21.50,20.00,7000,0,0,L,O,50,50,1.00,0
0,22/06/2022 11:29:55,22.00,20.00,7000,0,0,L,O,50,50,1.00,0
0,22/06/2022 11:29:57,21.50,20.00,7000,0,0,L,O,50,50,1.00,0
0,22/06/2022 11:29:59,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:00,21.75,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:00,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:01,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:02,21.75,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:02,21.50,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:03,21.50,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:04,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:04,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:05,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:06,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:06,21.50,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:07,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:08,21.75,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:08,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:09,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:10,21.75,20.00,7000,0,20,L,O,50,10,1.00,0
0,22/06/2022 11:30:10,22.00,20.00,7000,0,20,L,O,50,10,1.00,0
