,date,realtemp,settemp,PSUmillivolt,PSUmA,inPumpPercent,blotter,roof,fanpercent,outpumppercent,hysteresis,valve,pickup
0,25/08/2022 14:18:50,21.50,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,25/08/2022 14:19:45,20.25,20.00,7000,0,0,L,O,50,50,1.00,0,0
0,25/08/2022 14:19:47,20.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,25/08/2022 14:19:47,18.50,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,25/08/2022 14:19:48,15.75,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,25/08/2022 14:19:50,25.25,20.00,7000,0,20,L,O,50,20,1.00,2,0
0,25/08/2022 14:19:52,19.75,20.00,7000,0,0,L,O,50,20,1.00,0,0
0,25/08/2022 14:19:54,20.25,20.00,7000,0,0,L,O,50,20,1.00,0,0
0,25/08/2022 14:19:55,20.25,20.00,7000,0,0,L,O,50,20,1.00,0,0
0,25/08/2022 14:19:57,20.25,20.00,7000,0,0,L,O,50,20,1.00,0,0
0,25/08/2022 14:19:59,20.00,20.00,7000,0,0,L,O,50,20,1.00,0,0
0,25/08/2022 14:20:01,19.50,20.00,7000,0,20,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:03,22.00,20.00,7000,0,20,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:04,21.25,20.00,7000,0,20,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:06,20.00,20.00,7000,0,10,L,C,50,20,1.00,1,0
0,25/08/2022 14:20:07,19.75,20.00,7000,0,10,L,C,50,20,1.00,1,0
0,25/08/2022 14:20:08,20.00,20.00,7000,0,10,L,C,50,20,1.00,1,0
0,25/08/2022 14:20:08,20.00,20.00,7000,0,10,L,C,50,20,1.00,1,0
0,25/08/2022 14:20:09,20.00,20.00,7000,0,10,L,C,50,20,1.00,1,0
0,25/08/2022 14:20:10,20.00,20.00,7000,0,10,L,C,50,20,1.00,1,0
0,25/08/2022 14:20:11,20.25,20.00,7000,0,10,L,C,50,20,1.00,1,0
0,25/08/2022 14:20:13,20.00,20.00,7000,0,10,L,C,50,20,1.00,1,0
0,25/08/2022 14:20:15,18.50,20.00,7000,0,0,L,O,50,20,1.00,0,0
0,25/08/2022 14:20:16,17.75,20.00,7000,0,0,L,O,50,20,1.00,0,0
0,25/08/2022 14:20:17,19.25,20.00,7000,0,0,H,O,50,20,1.00,0,0
0,25/08/2022 14:20:18,20.75,20.00,7000,0,0,H,O,50,20,1.00,0,0
0,25/08/2022 14:20:20,20.50,20.00,7000,0,0,H,O,50,20,1.00,0,0
0,25/08/2022 14:20:28,19.75,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:29,18.75,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:30,15.75,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:30,22.00,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:31,22.00,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:32,22.00,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:32,20.50,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:33,20.50,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:34,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:34,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:35,20.00,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:36,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:36,20.00,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:37,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:38,20.50,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:38,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:39,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:40,20.00,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:40,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:41,20.00,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:42,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:42,18.75,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:43,17.75,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:44,22.00,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:44,21.75,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:45,22.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:46,20.50,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:46,20.00,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:47,20.50,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:48,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:48,20.50,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:49,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
0,25/08/2022 14:20:50,20.25,20.00,7000,0,10,L,C,50,20,1.00,0,0
